,0,1,2,3,4,5
0,13739,2022,VNL,Pool 6 - Week 3 - Men #90,Poland,Netherlands
0,13740,2022,VNL,Pool 5 - Week 3 - Men #91,USA,Argentina
0,13741,2022,VNL,Pool 5 - Week 3 - Men #92,Australia,France
0,13742,2022,VNL,Pool 5 - Week 3 - Men #93,Brazil,Japan
0,13743,2022,VNL,Pool 6 - Week 3 - Men #94,China,Serbia
0,13744,2022,VNL,Pool 6 - Week 3 - Men #95,Italy,Netherlands
0,13745,2022,VNL,Pool 6 - Week 3 - Men #96,Poland,Slovenia
0,13746,2022,VNL,Quarter-finals - Final Round - Men #97,USA,Brazil
0,13747,2022,VNL,Quarter-finals - Final Round - Men #98,Italy,Netherlands
0,13748,2022,VNL,Quarter-finals - Final Round - Men #99,France,Japan
0,13749,2022,VNL,Quarter-finals - Final Round - Men #100,Poland,Iran
0,13750,2022,VNL,Semi-finals - Final Round - Men #101,Poland,USA
0,13751,2022,VNL,Semi-finals - Final Round - Men #102,Italy,France
0,13752,2022,VNL,3rd Place - Final Round - Men #103,Italy,Poland
0,13753,2022,VNL,Final - Final Round - Men #104,France,USA
0,16128,2023,VNL,Pool 2 - Week 1 - Men #1,Bulgaria,China
0,16129,2023,VNL,Pool 2 - Week 1 - Men #2,Japan,Iran
0,16130,2023,VNL,Pool 1 - Week 1 - Men #3,Italy,Argentina
0,16131,2023,VNL,Pool 1 - Week 1 - Men #4,Canada,Cuba
0,16132,2023,VNL,Pool 2 - Week 1 - Men #5,Slovenia,Serbia
0,16133,2023,VNL,Pool 2 - Week 1 - Men #6,Poland,France
0,16134,2023,VNL,Pool 1 - Week 1 - Men #7,USA,Netherlands
0,16135,2023,VNL,Pool 1 - Week 1 - Men #8,Brazil,Germany
0,16136,2023,VNL,Pool 2 - Week 1 - Men #9,Slovenia,Bulgaria
0,16137,2023,VNL,Pool 2 - Week 1 - Men #10,Serbia,China
0,16138,2023,VNL,Pool 2 - Week 1 - Men #11,Poland,Iran
0,16139,2023,VNL,Pool 1 - Week 1 - Men #12,Netherlands,Cuba
0,16140,2023,VNL,Pool 1 - Week 1 - Men #13,Italy,USA
0,16141,2023,VNL,Pool 1 - Week 1 - Men #14,Argentina,Brazil
0,16142,2023,VNL,Pool 2 - Week 1 - Men #15,China,France
0,16143,2023,VNL,Pool 2 - Week 1 - Men #16,Poland,Bulgaria
0,16144,2023,VNL,Pool 2 - Week 1 - Men #17,Japan,Serbia
0,16145,2023,VNL,Pool 1 - Week 1 - Men #18,Netherlands,Germany
0,16146,2023,VNL,Pool 1 - Week 1 - Men #19,Italy,Cuba
0,16147,2023,VNL,Pool 1 - Week 1 - Men #20,Canada,Argentina
0,16148,2023,VNL,Pool 2 - Week 1 - Men #21,France,Slovenia
0,16149,2023,VNL,Pool 2 - Week 1 - Men #22,Iran,China
0,16150,2023,VNL,Pool 2 - Week 1 - Men #23,Japan,Bulgaria
0,16151,2023,VNL,Pool 1 - Week 1 - Men #24,Germany,Italy
0,16152,2023,VNL,Pool 1 - Week 1 - Men #25,Brazil,Cuba
0,16153,2023,VNL,Pool 1 - Week 1 - Men #26,Canada,USA
0,16154,2023,VNL,Pool 2 - Week 1 - Men #27,Slovenia,Iran
0,16155,2023,VNL,Pool 2 - Week 1 - Men #28,Serbia,Poland
0,16156,2023,VNL,Pool 2 - Week 1 - Men #29,Japan,France
0,16157,2023,VNL,Pool 1 - Week 1 - Men #30,Argentina,Netherlands
0,16158,2023,VNL,Pool 1 - Week 1 - Men #31,USA,Brazil
0,16159,2023,VNL,Pool 1 - Week 1 - Men #32,Canada,Germany
