,game_id,team,set_nr,action,player_nr,player_name,position,digs,errors,total,efficiency
377,11833,Thailand,1,dig,9,C.Sutadta ,OH,3,0,3,100.00
378,11833,Thailand,1,dig,5,T.Pleumjit ,MB,1,0,1,100.00
379,11833,Thailand,1,dig,6,S.Onuma ,OH,1,1,2,0.00
380,11833,Thailand,1,dig,13,T.Nootsara ,S,1,0,4,25.00
381,11833,Thailand,1,dig,19,K.Karina ,MB,1,0,1,100.00
382,11833,Thailand,1,dig,3,M.Sirima ,S,0,0,0,
383,11833,Thailand,1,dig,8,Tirawan ,MB,0,0,0,
384,11833,Thailand,1,dig,10,A.Wilavan (C),L,0,1,1,-100.00
385,11833,Thailand,1,dig,11,H.Amporn ,MB,0,0,0,
386,11833,Thailand,1,dig,12,C.Tapaphaipun ,L,0,0,0,
387,11833,Thailand,1,dig,14,Pattiya ,OH,0,0,0,
388,11833,Thailand,1,dig,15,K.Malika ,O,0,0,0,
389,11833,Thailand,1,dig,24,N.Watchareeya ,MB,0,0,0,
391,11833,Thailand,2,dig,12,C.Tapaphaipun ,L,4,2,7,28.57
392,11833,Thailand,2,dig,13,T.Nootsara ,S,3,0,3,100.00
393,11833,Thailand,2,dig,2,P. Piyanut ,L,2,0,2,100.00
394,11833,Thailand,2,dig,3,M.Sirima ,S,1,0,1,100.00
395,11833,Thailand,2,dig,6,S.Onuma ,OH,1,1,2,0.00
396,11833,Thailand,2,dig,9,C.Sutadta ,OH,1,1,2,0.00
397,11833,Thailand,2,dig,15,K.Malika ,O,1,0,1,100.00
398,11833,Thailand,2,dig,5,T.Pleumjit ,MB,0,0,0,
399,11833,Thailand,2,dig,8,Tirawan ,MB,0,0,0,
400,11833,Thailand,2,dig,10,A.Wilavan (C),L,0,0,0,
401,11833,Thailand,2,dig,11,H.Amporn ,MB,0,0,0,
402,11833,Thailand,2,dig,14,Pattiya ,OH,0,0,0,
403,11833,Thailand,2,dig,19,K.Karina ,MB,0,0,1,0.00
404,11833,Thailand,2,dig,24,N.Watchareeya ,MB,0,0,0,
406,11833,Thailand,3,dig,13,T.Nootsara ,S,3,0,3,100.00
407,11833,Thailand,3,dig,6,S.Onuma ,OH,2,0,2,100.00
408,11833,Thailand,3,dig,12,C.Tapaphaipun ,L,2,0,3,66.67
409,11833,Thailand,3,dig,15,K.Malika ,O,2,0,4,50.00
410,11833,Thailand,3,dig,2,P. Piyanut ,L,1,0,1,100.00
411,11833,Thailand,3,dig,5,T.Pleumjit ,MB,1,0,1,100.00
412,11833,Thailand,3,dig,9,C.Sutadta ,OH,1,0,1,100.00
413,11833,Thailand,3,dig,3,M.Sirima ,S,0,0,0,
414,11833,Thailand,3,dig,8,Tirawan ,MB,0,0,0,
415,11833,Thailand,3,dig,10,A.Wilavan (C),L,0,0,0,
416,11833,Thailand,3,dig,11,H.Amporn ,MB,0,0,0,
417,11833,Thailand,3,dig,14,Pattiya ,OH,0,0,0,
418,11833,Thailand,3,dig,19,K.Karina ,MB,0,0,0,
419,11833,Thailand,3,dig,24,N.Watchareeya ,MB,0,0,0,
421,11834,China,1,dig,10,Liu X.T. ,OH,4,0,4,100.00
422,11834,China,1,dig,18,Wang M.J. ,L,4,0,4,100.00
423,11834,China,1,dig,9,Zhang C.N. (C),OH,3,0,3,100.00
424,11834,China,1,dig,19,Liu Y.H. ,OH,2,0,2,100.00
